Name,G,Snaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap,Year,Pos_FB,Pos_RB,Pos_TE,Pos_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_OAK,Team_PHI,Team_PIT,Team_SD,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
Christian Kirk,12,0.7333568869942566,1.4932438732993016,1.0473895565892768,-0.5180708027188038,0.5056479827112548,-0.29278167583161885,0.5791406832114048,0.1710700141200616,2018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Seals-Jones,15,0.7194965970573007,0.8350523912088389,0.5373874736003202,-0.5511228920379261,0.571560249706696,-0.2979564758346819,-0.13314867119373125,-0.4386147057310078,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Jones,9,0.7194965970573007,1.8403037600290502,1.8485863772848308,-0.5511228920379261,0.3580618196562442,-0.3836281647742811,0.584456275408458,0.1710700141200616,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvin Benjamin,15,0.7194965970573007,0.6235569853148297,0.5373874736003202,-0.5511228920379261,0.4913192290165933,-0.33015523140929637,-0.06758970076340773,-0.36240411574962417,2018,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,16,0.7056363071203449,0.3350194700934057,0.40083852880005155,-0.5511228920379261,0.022768983201172138,-0.5181729648539201,0.2672926076509472,-0.057561755824089456,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
James O'Shaughnessy,14,0.6952410896676279,0.7309714646655523,0.6503556769290569,-0.5511228920379261,-0.26667184143098405,-0.6343184760337794,-0.4680309796080862,-0.6672464756751588,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,15,0.691776017183389,0.517994479746016,0.507774449426768,-0.5511228920379261,-0.13054868133170275,-0.5796955871125585,-0.05164292417224799,-0.36240411574962417,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jarius Wright,16,0.68831094469915,0.4165063164974021,0.38329007003053905,-0.5282869030538052,0.3322700630058541,-0.3721286092119187,0.12022789019914058,-0.20998293578685676,2018,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Pascal,16,0.681380799730672,0.28242341468718973,0.3767093979919716,-0.5282869030538052,-0.06893504044465962,-0.533122387084991,-0.14200799152215332,-0.36240411574962417,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levine Toilolo,16,0.681380799730672,0.3768740775645492,0.3767093979919716,-0.5511228920379261,-0.6406523128616414,-0.7843876761226075,-0.27489779644848467,-0.5148252957123916,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Thomas,16,0.677915727246433,0.40576486856232985,0.3734190619726883,-0.5511228920379261,0.0428292383736979,-0.5101232759602664,-0.04455546790951035,-0.2861935257682405,2018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Washington,14,0.677915727246433,0.5546635606278145,0.6306136608133555,-0.5511228920379261,-0.25807458921418736,-0.6308686093650708,-0.35640354346996783,-0.5910358856937752,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Melvin Gordon,12,0.6744506547621941,1.1280346435068447,0.9695182707995652,1.45183372070088,0.5085137334501869,1.5931454363957998,3.1483435784538107,2.304966533598805,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
